FID,workorderi,descriptio,initiateda,entityuid,woaddress,what_happe,globalid
264,27903,Urgent Water Main Break Repair,2024-09-04,p4131,"712 W Coolidge DR, Bloomington, IN, 47403",Strike (No BWA),{C2AF4A98-9C6D-43D7-84E2-667A2902633B}
265,28409,Urgent Water Main Break Repair,2024-09-13,v46108,"510 N HAMILTON CT, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{A3F40E39-8313-47A2-BDF2-359091ABCD0E}
266,28412,Urgent Service Line Break Repair,2024-09-13,25876,"920 S LARKSPUR LN, BLOOMINGTON, IN, 47403",Service Line Strike,{B91D0F6A-F302-4FC1-84C3-68AD89EC7DDD}
267,28484,Urgent Water Main Break Repair,2024-09-16,u4594,"3514 E MORNINGSIDE DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{AC6A3DF0-F342-4004-A87A-6E061B950F96}
268,28618,Urgent Service Line Break Repair,2024-09-18,r4439,"608 S EAGLESON AVE, BLOOMINGTON, IN, 47401",Service Line Strike,{A548654A-61C0-428F-B83C-0BDCAA62F156}
269,28907,Urgent Water Main Break Repair,2024-09-20,p4712,"810 N BLAIR AVE, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{1CB093E4-C726-44F7-9524-486FA6D8F990}
270,29046,Urgent Water Main Break Repair,2024-09-24,n4215,"1530 S STONE DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{64B82A7F-7EC2-4B94-AC8D-687A34CF1B99}
271,29101,Urgent Water Main Break Repair,2024-09-24,wp17671,"809 S MADISON ST, BLOOMINGTON, IN, 47403",Strike (No BWA),{7C5F71DE-8FDE-406A-AA6F-CA21A2C8CBBB}
272,29178,Urgent Water Main Break Repair,2024-09-26,wp1251,"2620 W COTA DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{7BF90525-A893-46ED-B2DB-F5F56B8781AB}
273,29497,Urgent Service Line Break Repair,2024-10-03,10923,"612 W CHEROKEE DR, BLOOMINGTON, IN, 47403",Service Line Strike,{1D2972B8-C1D5-40F6-87F3-264674A74259}
274,30098,Urgent Water Main Break Repair,2024-10-16,p4695,"402 N ROGERS ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{7AFF5125-6E06-401A-9E8B-C12ECC0C54E1}
275,30275,Urgent Service Line Break Repair,2024-10-17,13259,"235 E Winslow RD, Bloomington, 47401",Service Line Strike,{2E54E83C-AB5F-4469-9EF0-C245A2F07146}
276,30351,Urgent Water Main Break Repair,2024-10-18,r3844,"3926 S EMILIE CT, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{28EA3AEC-F893-4369-8BC4-E0F6570EA19D}
277,30483,Urgent Water Main Break Repair,2024-10-22,v46159,"237 N SHEFFIELD DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{D7A4CF0C-D38A-44D2-8FF3-B674260CF9F8}
278,30485,Urgent Service Line Break Repair,2024-10-22,23798,"818 S STULL AVE, BLOOMINGTON, IN, 47401",Service Line Leak,{B8C1C892-89A2-4C06-8E69-CC44EDDEA03B}
279,30728,Urgent Water Main Break Repair,2024-10-28,s4218,"1531 S DORCHESTER DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{0ACFEB2F-61B1-4671-986E-D05AEE6C2B1F}
280,30800,Urgent Water Main Break Repair,2024-10-29,wp27652,"603 S EAGLESON AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{C157868B-F431-482D-9908-E1F61B3C9615}
281,30801,Urgent Water Main Break Repair,2024-10-29,wp24919,"4426 E CAMBRIDGE CT, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{D7DE5F03-8FCD-4774-818F-57DA72DB89FD}
282,30865,Urgent Service Line Break Repair,2024-10-30,5751,"308 N Lincoln ST, Bloomington, IN, 47408",Service Line Strike,{6B8C9F3D-5CF0-4F0A-BF7E-57FB36198B1B}
283,31052,Urgent Water Main Break Repair,2024-11-04,p3844,"3603 S HAYS DR, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{5441777C-D6CA-4AC1-BF16-DDF5DB2DAF0A}
284,31097,Urgent Water Main Break Repair,2024-11-06,wp10272,"816 S FESS AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{F93BA5F6-758C-49E1-A8DD-6DA914F75F4B}
285,31845,Urgent Water Main Break Repair,2024-11-19,wp685,"3309 S GLEN ARBOR PL, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{0BA7D468-7F65-4403-9953-26175EE204AD}
286,31866,Urgent Water Main Break Repair,2024-11-19,wp18892,"723 W 1ST ST, BLOOMINGTON, IN, 47403",Strike (No BWA),{C19E566F-83FB-4E50-8AB3-68A0077C838B}
287,31903,Urgent Water Main Break Repair,2024-11-20,wp18892,"727 W 1ST ST, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{EA73228E-6581-4F35-9A1E-9AD9F0C5F045}
288,32098,Urgent Water Main Break Repair,2024-11-23,q607,"6575 N SHOWERS RD, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{65875CBF-9329-4B0B-894B-CDCD6B580B04}
289,32240,Urgent Water Main Break Repair,2024-11-29,wp12467,"2206 E 8TH ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{5A8305E7-8D72-4A48-9FD9-922A2CBBDCC4}
290,32242,Urgent Water Main Break Repair,2024-11-30,p5148,"3401 N STONEYCREST RD, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{3F8ABB59-05D6-42EE-9D41-DBFE72D79DBD}
291,32348,Urgent Water Main Break Repair,2024-12-04,q3957,"115 E RIDGEVIEW DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{B73DD721-B3FF-40AD-8704-E577D4E3C3AF}
292,32370,Urgent Service Line Break Repair,2024-12-05,wp24955,"2121 N Angelina LN, Bloomington, IN, 47404",Main Leak (No BWA),{56C417D1-EB78-46BE-A3FA-6E331DCA69DA}
293,32391,Urgent Water Main Break Repair,2024-12-06,s4134,"2113 S GEORGETOWN RD, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{3E8BF43A-220D-47DA-8EB7-43892702FF6A}
294,32410,Urgent Water Main Break Repair,2024-12-06,s4274,"2222 E CAPE COD DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{9A6E25DA-82D6-4882-8BA5-7CD721C0F99E}
295,32412,Urgent Water Main Break Repair,2024-12-07,s4069,"3013 S STRATFORD DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{DC722152-26A5-45D4-B176-1F03BF52290B}
296,32504,Urgent Water Main Break Repair,2024-12-09,p5025,"611 W CLOVER TER, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{3B9A5DDF-18C6-4082-B383-82DC2016C1B9}
297,32888,Urgent Water Main Break Repair,2024-12-12,wp14011,"1020 S WOODLAWN AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{2D28DA47-54DE-48BC-8505-15AA5C221DC0}
298,32960,Urgent Water Main Break Repair,2024-12-12,v4466,"S CHRISTOPHER DR & E BROWNRIDGE RD, PERRY, IN, 47401",Main Leak (No BWA),{0AFDF68C-24D4-46E1-999C-EA29C26E5A18}
299,32972,Urgent Service Line Break Repair,2024-12-13,q44107,"610 S Henderson ST, Bloomington, IN, 47401",Service Line Strike,{D4DDBE57-0789-4A17-B42A-A96E1B5DC50F}
300,32972,Urgent Service Line Break Repair,2024-12-13,2931,"610 S Henderson ST, Bloomington, IN, 47401",Service Line Strike,{DD66C8C6-3578-4509-BB7B-9C788B0A6B62}
301,33322,Urgent Water Main Break Repair,2024-12-23,wp21763,"919 W 8TH ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{60D9594D-2A62-4D19-8645-14B29C456EA0}
302,33620,Urgent Water Main Break Repair,2025-01-07,wp14391,"1318 S HENDERSON ST, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{DE5A6448-14FD-49D7-B292-558E8B700E0C}
303,33635,Urgent Water Main Break Repair,2025-01-08,wp18455,"118 S GLENWOOD AVE W, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{145B6040-2B5D-4971-934A-36D623A3B77F}
304,33704,Urgent Water Main Break Repair,2025-01-09,t4162,"2525 E ROCK CREEK DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{A9D9A1B4-CF96-4E04-9E16-FCBB3E09AF36}
305,33763,Urgent Water Main Break Repair,2025-01-14,s44111,"611 S CLIFTON AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{155A5CFD-E685-4812-BB61-73AAC8E1FB04}
306,33785,Urgent Water Main Break Repair,2025-01-14,wp26270,"813 E UNIVERSITY ST, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{199B87BD-B0DA-498C-BF05-85D408205EF4}
307,33862,Urgent Water Main Break Repair,2025-01-17,l44148,"417 S WESTERN DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{E1D3D816-34D7-450E-890F-CCD85F62C084}
308,33863,Urgent Water Main Break Repair,2025-01-17,l455,"W BELLE AVE & S HICKORY DR, VAN BUREN, IN, 47403",Main Leak (No BWA),{6B984C09-F35A-4AC9-AC70-E77056911C2E}
309,33875,Urgent Water Main Break Repair,2025-01-19,q4874,"1301 N WALNUT ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{87F3F1CC-6B14-4CBE-BA4F-5709AE4377A9}
310,33981,Urgent Water Main Break Repair,2025-01-22,r42183,"798 E MOODY DR, PERRY, IN, 47401",Main Leak (No BWA),{1DA537C9-46A9-403B-9248-15DC71191555}
311,33993,Urgent Water Main Break Repair,2025-01-23,q48128,"110 E 19TH ST, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{9914EC31-7076-49CF-BEE9-0195A4F1DC10}
312,34039,Urgent Water Main Break Repair,2025-01-23,p43128,"1309 S ROGERS ST, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{C178DB72-F956-467F-B498-9AA3959BED95}
313,34064,Urgent Water Main Break Repair,2025-01-24,n4345,"1700 W BLOOMFIELD RD, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{492206F1-5B3F-4594-8F21-A55EB6EF7719}
314,34364,Urgent Water Main Break Repair,2025-01-31,p4647,"622 N MONROE ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{26981F17-EE74-4748-BACE-0AAFE9D84F65}
315,34368,Urgent Water Main Break Repair,2025-02-02,r4245,"1220 E THORNTON DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{0BA833A2-A46D-4DA7-96E3-93E3224B6587}
316,34423,Urgent Water Main Break Repair,2025-02-03,o322,"100 W DILLMAN RD, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{A81BC3F2-333F-4997-BAF2-E224E9F68572}
317,34479,Urgent Service Line Break,2025-02-04,v4713,"4325 E Weymouth LN, Bloomington, IN, 47408",Service Line Leak,{06A1B217-6573-4A8E-B4FB-B6D6F3127CA3}
318,34528,Urgent Water Main Break Repair,2025-02-04,t4570,"2700 E 3rd ST, Bloomington, 47401",Main Leak (No BWA),{7B40E7D5-DF86-41AF-B656-424A722DBEF3}
319,34584,Urgent Water Main Break Repair,2025-02-05,m411,"3722 W Oak Leaf DR, Bloomington, IN, 47403",Main Break (Includes a BWA),{025EE639-0E86-4162-A10D-D640B8C10228}
320,34604,Urgent Service Line Break,2025-02-05,22093,"W Daffodil CT, 47403",Service Line Leak,{7E73AD0B-1DD1-4CE0-91A5-E3C7CCBB3433}
321,35091,Urgent Water Main Break Repair,2025-02-16,l4531,"4146 W Belle AVE, Bloomington, IN, 47403",Main Leak (No BWA),{3BEE5B69-0CFE-4D6E-9E4B-5C5D249CFE71}
322,35092,Urgent Water Main Break Repair,2025-02-16,m372,"3738 S Sims LN, Bloomington, IN, 47403",Main Leak (No BWA),{CC07B70D-731D-4EDA-B4C1-C58718782C09}
323,35096,Urgent Water Main Break Repair,2025-02-17,wp33962,"181 E Ellis RD, Bloomington, IN, 47408",Main Leak (No BWA),{C53EF5D9-2B30-4641-B208-87793549C220}
324,35245,Urgent Water Main Break Repair,2025-02-21,wp34459,"928 S Ballantine RD, Bloomington, IN, 47401",Main Leak (No BWA),{06896161-7D3A-4DB9-AD3C-1A885AEC0D6D}
325,35343,Urgent Water Main Break Repair,2025-02-24,wp27388,"120 S Franklin RD, Bloomington, 47404",Main Leak (No BWA),{FD59DDD5-B5F1-4511-8EE7-F53D0B530D56}
326,35415,Urgent Water Main Break Repair,2025-02-25,r4439,"616 S Eagleson AVE, Bloomington, IN, 47401",Main Break (Includes a BWA),{3F664B69-E422-4B78-A5DE-808446726416}
327,35583,Urgent Water Main Break Repair,2025-02-26,wp22094,"216 S Rockwood Crescent CT, Bloomington, IN, 47403",Main Leak (No BWA),{06C1B5B6-AE3F-4ECC-96FB-EA195620E924}
328,36819,Urgent Service Line Break,2025-03-18,wp25764,"613 E Moody DR, Bloomington, IN, 47401",Service Line Strike,{E82D4AC0-D62F-4402-BFF5-750D5366B0D0}
329,36929,Urgent Service Line Break,2025-03-20,21992,"2580 S Delila Star DR, Bloomington, IN, 47403",Service Line Leak,{46D0012A-578A-4BAA-865F-A007025151C7}
330,37197,Urgent Water Main Break Repair,2025-03-27,wp20221,"N Stone Branch DR, 47404",Main Leak (No BWA),{2A8D0B80-AAA9-4657-A468-4FF36C41E312}
331,37299,Urgent Water Main Break Repair,2025-03-27,wp657,"613 W Whitethorn WAY, Bloomington, IN, 47403",Main Break (Includes a BWA),{7A62AA7B-1C8E-4D1C-96E7-5EE6FFA8290B}
332,37641,Urgent Service Line Break Repair,2025-04-03,15618,"4199 S Walnut Street PIKE, Bloomington, IN, 47401",Service Line Strike,{1F7BD363-DE8F-4F70-AC3A-ADD1635814D4}
333,37860,Urgent Service Line Break,2025-04-08,21785,"2721 S Jalen CT, Bloomington, IN, 47403",Service Line Leak,{AFC7457E-BF9E-4DC4-A5D9-86722B4B7114}
334,38202,Urgent Water Main Break Repair,2025-04-14,t44110,"2906 E Buick Cadillac BLVD, Bloomington, IN, 47401",Main Leak (No BWA),{FFE1B8A1-E93D-440D-AF4C-C6955FE3A19A}
335,38287,Urgent Water Main Break Repair,2025-04-14,t43158,"1404 S Sare RD, Bloomington, IN, 47401",Main Leak (No BWA),{BF8E07F1-D59A-4B29-9B8E-88239EAA1B69}
336,38533,Urgent Water Main Break Repair,2025-04-16,629,"4411 E Clayton CT, Bloomington, IN, 47401",Main Break (Includes a BWA),{6134A9AA-C62E-49DD-9EEC-786E2AAE4C61}
337,38628,Urgent Water Main Break Repair,2025-04-21,wp5723,"3805 E Tamarron DR, Bloomington, IN, 47408",Main Leak (No BWA),{98A38FB4-2457-4258-BC8E-248151221695}
338,38763,Urgent Water Main Break Repair,2025-04-22,wp162,"254 S Indiana AVE, Bloomington, 47408",Strike (No BWA),{2240902D-49E0-455D-8D1F-036FCB2F6396}
339,39092,Urgent Water Main Break Repair,2025-04-28,wp19744,"111 W Hillside DR, Bloomington, IN, 47403",Main Leak (No BWA),{EDDEF33E-D2C4-4A2B-A660-F96043085124}
340,39260,Urgent Water Main Break Repair,2025-04-29,p4444,"811 W 2nd ST,  Bloomington,  IN,  47403",Strike (No BWA),{09B3809D-274F-4DF0-ABEF-9620A459FDF7}
341,39520,Urgent Service Line Break,2025-05-05,29415,"1080 S Sugar Maple PL,  Bloomington,  IN,  47403",Service Line Leak,{821DE748-55EA-4DFB-8673-69C7647B5CC9}
342,40454,Urgent Water Main Break Repair,2025-05-22,wp3089,"3407 E Olcott BLVD,  Bloomington,  IN,  47401",Main Break (Includes a BWA),{C1DCD22F-4986-46EE-8723-F4E5D730154F}
343,40520,Urgent Water Main Break Repair,2025-05-22,t4186,"2693 S Mccartney LN, Bloomington, IN, 47401",Main Break (Includes a BWA),{B8764236-942A-4659-BA51-DAB7D118225A}
344,40601,Urgent Water Main Break Repair,2025-05-25,t4257,"2670 S Mccartney LN, Bloomington, IN, 47401",Main Break (Includes a BWA),{3EBA9707-A866-4E83-967A-01E08FAB0EFF}
345,42397,Urgent Water Main Break Repair,2025-06-24,wp8397,"330 N Eagleson AVE, Bloomington, IN, 47405",Main Break (Includes a BWA),{0EB3A4FA-E16D-4CF1-AE7D-4E3645195040}
346,42677,Urgent Water Main Break Repair,2025-06-30,wp32563,"4685 W Woodyard RD, Bloomington, IN, 47404",Main Leak (No BWA),{9AF74513-6A14-4034-95FA-183A1BD6AC17}
347,42677,Urgent Water Main Break Repair,2025-06-30,wp32564,"4685 W Woodyard RD, Bloomington, IN, 47404",Main Leak (No BWA),{81132967-C0F1-4DDF-8B60-B8D625D36D86}
348,42677,Urgent Water Main Break Repair,2025-06-30,wp32562,"4685 W Woodyard RD, Bloomington, IN, 47404",Main Leak (No BWA),{D8833715-D5C9-4B1D-B008-7A879F9BFA1B}
349,42791,Urgent Water Main Break Repair,2025-07-01,wp39837,"220 E 19th ST, Bloomington, IN, 47408", ,{CF68BA6C-E51F-4548-9FC7-55556160EA53}
350,42794,Urgent Water Main Break Repair,2025-07-01,wp2595,"1500 S Oakdale DR, Bloomington, 47403", ,{9EDE8347-067D-40D5-9616-27A9944DBEFE}
351,42975,Urgent Water Main Break Repair,2025-07-05,s40101,"1705 E Caradon Hl, Bloomington, Indiana",Main Break (Includes a BWA),{9E4B183A-0F62-4A4F-865D-94587F9738EA}
352,42980,Urgent Service Line Break,2025-07-06,12529,"3724 S Hampshire Ln, Bloomington, Indiana", ,{ACFA785B-1F7E-4956-BBD9-EF1957A495EA}
353,43015,Urgent Water Main Break Repair,2025-07-07,wp23598,19th and Lincoln,Main Leak (No BWA),{306A44A3-4D40-477A-8ACD-9239B65525EC}
354,44032,Urgent Water Main Break Repair,2025-07-21,wp12290, , ,{30E00AD7-808A-43AD-A107-CF7EB5F613D2}
355,44033,Urgent Water Main Break Repair,2025-07-21,wp10261,3612 E Mabel, ,{777815E2-6749-412D-9A69-22844E0C279E}
356,44123,Urgent Water Main Break Repair,2025-07-23,r44201,"730 S Park AVE, Bloomington, 47401",Main Leak (No BWA),{3975087C-5847-4ACC-81DC-CD229D5911DA}
357,44261,Urgent Water Main Break Repair,2025-07-26,wp8583,19th and Lincoln,Main Leak (No BWA),{211B2097-039E-4893-978D-2DE1B93135F1}
358,44829,Urgent Water Main Break Repair,2025-08-05,wp4813,"1416 S Palmer AVE, Bloomington, IN, 47401",Main Leak (No BWA),{A73119CD-DB14-481F-B1A8-5E3384C470E6}
359,45107,Urgent Water Main Break Repair,2025-08-07,wp23236,"1310 N Lincoln ST, Bloomington, IN, 47408",Main Leak (No BWA),{F3D5FE69-1920-4B4C-B0DC-59BBEEAC41D9}
360,45343,Urgent Water Main Break Repair,2025-08-14,wp25545,"N Martha ST, Bloomington, 47408", ,{8F86853D-E0DE-44BE-942F-0E3E74E61CC7}
361,45344,Urgent Water Main Break Repair,2025-08-14,wp25545,"N Martha ST, Bloomington, 47408",Main Break (Includes a BWA),{B3A36B2A-0F2A-4E35-93A1-9B70F5939A14}
362,45436,Urgent Water Main Break Repair,2025-08-15,wp5720, , ,{C0376185-6A09-4D39-A314-F635D27EDD33}
363,45437,Urgent Water Main Break Repair,2025-08-15,wp5719, , ,{41A65F77-9C2E-4775-91D4-59550B2B6CA5}
364,45438,Urgent Water Main Break Repair,2025-08-15,wp2869, , ,{0ACBAE2B-AB7C-4203-988F-5C614FA0B7D3}
365,45439,Urgent Water Main Break Repair,2025-08-15,wp5727,"3672 E Tamarron DR, Bloomington, IN, 47408", ,{E767066C-EC29-457F-A480-D7D4789E14AB}
366,45440,Urgent Water Main Break Repair,2025-08-15,x453,"4982 E Ridgewood DR, Bloomington, IN",Strike (Includes a BWA),{E0FB4F63-E326-400F-AC26-3BAE3C2E48BE}
