pipe_tag,break_date
p5119,2018-11-26
u4649,2018-11-29
q5414,2018-12-11
t4368,2018-12-12
s4134,2018-12-17
wp34021,2018-12-22
t4183,2018-12-23
wp22309,2018-12-26
s3925,2018-12-27
wp28489,2018-12-28
s3974,2018-12-29
wp3249,2019-05-25
s42160,2019-05-09
wp18088,2019-05-14
wp7435,2019-04-23
p47147,2019-05-17
t4249,2019-05-16
wp734,2019-05-10
wp19593,2019-04-24
wp13294,2019-05-30
s3922,2019-05-15
q3914,2019-04-26
s40105,2019-03-18
r42146,2019-04-15
wp5106,2019-03-20
wp2501,2019-03-22
q4962,2019-03-18
wp24451,2019-03-14
s3925,2019-03-31
wp8765,2019-03-31
u45100,2019-02-02
 ,2019-03-05
 ,2019-02-26
l453,2019-03-06
r42146,2019-06-01
s42191,2019-02-13
s4033,2019-03-04
wp1131,2019-06-29
p47168,2019-06-23
q45321,2019-06-14
p4133,2019-06-17
r4231,2019-06-18
wp3321,2019-06-18
s4155,2019-06-17
r4479,2019-06-16
s4060,2019-06-15
r424,2019-06-02
 ,2019-06-17
u4117,2019-07-16
q45265,2019-07-21
s3939,2019-07-22
t4257,2019-01-02
s4356,2019-01-10
s4142,2019-01-15
p4664,2019-01-22
wp674,2019-01-23
t4073,2019-01-25
s42111,2019-07-30
q45226,2019-07-29
q4378,2019-07-24
u4455,2019-07-21
wp1457,2019-07-16
wp6315,2019-08-07
r5522,2019-08-10
s42111,2019-08-01
p416,2019-08-14
wp7155,2019-07-24
wp25742,2019-08-13
v293,2019-08-15
v293,2019-09-20
wp3963,2019-09-21
u4244,2019-08-17
w297,2019-08-14
q4424,2019-09-14
 ,2019-09-23
n4615,2019-09-27
l4034,2019-10-12
q43221,2019-10-14
wp24119,2019-10-01
r3979,2019-10-31
r4037,2019-11-09
wp4515,2019-10-22
r541,2019-11-18
wp32394,2019-11-11
wp29557,2019-11-25
p5148,2019-11-28
wp9878,2019-12-31
u408,2019-12-14
 ,2019-12-05
v4464,2019-12-15
p4028,2019-12-05
q5173,2019-11-23
wp4141,2020-01-21
wp33077,2019-11-14
r541,2019-11-18
wp29262,2020-01-24
I44147,2020-01-26
t4429,2020-01-06
wp10940,2020-02-17
q4969,2020-02-20
wp11957,2020-02-06
wp16053,2020-02-16
s3929,2020-01-08
p444,2020-06-07
q42144,2020-06-17
s4145,2020-06-15
o4537,2019-12-02
wp25745,2019-12-16
u4434,2020-01-11
r4479,2020-01-10
r4930,2020-01-11
p561,2020-01-27
wp18401,2020-02-04
r414,2020-03-05
wp6315,2020-07-15
wp28997,2020-05-05
t395,2020-05-12
p5040,2020-02-20
p444,2020-07-07
wp25548,2020-03-30
wp14161,2020-06-07
wp10217,2020-03-10
m417,2020-09-09
s558,2020-09-13
wp20361,2020-08-31
p4086,2020-08-31
q5217,2020-08-29
wp18455,2020-12-07
r44162,2020-09-10
v3114,2020-09-23
p4068,2020-09-03
s3911,2020-09-21
u41118,2020-10-09
l4223,2020-10-20
s3948,2020-10-25
s4347,2020-11-09
wp20964,2020-11-10
wp8243,2020-11-17
s434,2020-11-20
s42176,2020-11-23
r4167,2020-11-24
u4621,2020-11-26
p363,2020-11-27
v46156,2020-11-28
v46108,2020-12-12
o4718,2020-12-09
wp15755,2020-12-17
q4247,2020-12-18
r3923,2020-12-22
o47153,2021-01-01
s46260,2021-01-03
 ,2021-01-04
m4043,2021-01-02
wp17913,2021-01-04
q3954,2021-01-08
u4131,2021-01-12
o46113,2021-01-23
 ,2021-01-17
 ,2021-01-18
o46113,2021-01-21
p5019,2021-01-27
p3974,2021-01-28
 ,2021-01-29
n4215,2021-02-01
wp12077,2021-02-02
 ,2021-02-14
 ,2021-02-20
u403,2021-02-22
 ,2021-02-22
o451,2021-02-23
q45240,2021-02-25
p3841,2021-02-27
n4615,2021-03-15
q422,2021-03-25
u4267,2021-03-28
 ,2021-10-01
 ,2021-10-01
p47212,2021-03-04
o4726,2021-02-18
u408,2021-02-23
o4781,2021-02-25
 ,2021-03-29
o4339,2021-04-02
 ,2021-04-07
wp16707,2021-04-12
o4313,2021-06-03
wp2578,2021-06-05
wp26219,2020-06-17
wp2578,2021-06-21
 ,2021-07-20
 ,2021-08-26
r4812,2021-08-27
 ,2021-09-06
 ,2021-09-06
u4452,2021-09-29
 ,2021-09-29
wp8649,2021-10-14
wp26008,2021-11-20
s434,2020-11-20
s3933,2021-03-21
 ,2021-05-14
wp18413,2020-11-21
wp21773,2020-11-20
q3731,2020-12-01
 wp15509,2021-01-25
 ,2021-02-17
 ,2021-02-18
 o4776,2021-02-19
 wp36537,2021-02-22
 q4974,2021-02-23
 wp22143,2021-04-14
wp14864,2021-04-16
 ,2021-04-19
 r4271,2021-04-20
 wp29098,2021-04-22
 s42120,2021-05-07
r432,2021-06-25
 u4273,2021-06-30
 q3961,2021-07-07
 wp10940,2021-08-14
 wp155,2021-08-17
 v46124,2021-08-24
r38132,2021-08-11
wp5499,2021-11-05
s3942,2021-11-19
l4550,2021-11-24
r3913,2021-12-09
wp15798,2021-12-17
o4730,2021-12-21
p4133,2021-12-26
s4069,2022-01-03
wp18455,2022-01-17
r4550,2022-01-18
v4570,2022-01-24
v46103,2022-01-25
t4347,2022-01-26
s4211,2022-01-26
q4839,2022-01-27
s44111,2022-02-04
q3954,2022-02-09
s4165,2022-02-10
o4783,2022-02-16
o4716,2022-02-28
wp17913,2022-03-01
wpbrk0001,2013-01-01
wpbrk0002,2013-01-02
wpbrk0003,2013-01-04
wpbrk0004,2013-01-11
wpbrk0005,2013-01-11
wpbrk0006,2013-01-18
wpbrk0008,2013-01-28
wpbrk0009,2013-01-31
wpbrk0010,2013-02-08
wpbrk0011,2013-02-13
wpbrk0013,2013-02-18
wpbrk0014,2013-03-04
wpbrk0015,2013-03-05
wpbrk0017,2013-03-27
wpbrk0019,2013-03-28
wpbrk0021,2013-04-03
wpbrk0022,2013-04-07
wpbrk0024,2013-04-08
wpbrk0027,2013-04-12
wpbrk0028,2013-04-15
wpbrk0030,2013-04-15
wpbrk0031,2013-04-17
wpbrk0032,2013-04-26
wpbrk0033,2013-05-02
wpbrk0034,2013-05-06
wpbrk0036,2013-05-09
wpbrk0037,2013-05-23
wpbrk0039,2013-05-26
wpbrk0040,2013-05-31
wpbrk0041,2013-06-21
wpbrk0042,2013-06-25
wpbrk0043,2013-07-05
wpbrk0044,2013-07-09
wpbrk0045,2013-07-11
wpbrk0046,2013-07-25
wpbrk0047,2013-07-26
wpbrk0048,2013-09-07
wpbrk0049,2013-09-09
wpbrk0051,2013-09-19
wpbrk0053,2013-10-28
wpbrk0054,2013-11-01
wpbrk0055,2013-11-22
wpbrk0056,2013-11-24
wpbrk0057,2013-11-30
wpbrk0059,2013-12-02
wpbrk0060,2013-12-10
wpbrk0061,2013-12-15
wpbrk0062,2013-12-17
wpbrk0064,2013-12-27
wpbrk0065,2014-01-07
wpbrk0066,2014-01-10
wpbrk0067,2014-01-14
wpbrk0068,2014-01-14
wpbrk0069,2014-01-14
wpbrk0070,2014-01-14
wpbrk0071,2014-01-16
wpbrk0072,2014-01-17
wpbrk0073,2014-01-20
wpbrk0074,2014-01-27
wpbrk0075,2014-01-29
wpbrk0076,2014-01-20
wpbrk0077,2014-01-24
wpbrk0078,2014-01-30
wpbrk0079,2014-01-31
wpbrk0081,2014-02-14
wpbrk0082,2014-02-01
wpbrk0083,2014-02-08
wpbrk0084,2014-02-10
wpbrk0085,2014-02-11
wpbrk0086,2014-02-15
wpbrk0087,2014-02-22
wpbrk0088,2014-02-23
wpbrk0089,2014-03-11
wpbrk0090,2014-04-05
wpbrk0091,2014-04-19
wpbrk0092,2014-04-29
wpbrk0093,2014-05-07
wpbrk0094,2014-05-14
wpbrk0095,2014-05-21
wpbrk0096,2014-06-17
wpbrk0098,2014-07-06
wpbrk0099,2014-07-15
wpbrk0100,2014-07-18
wpbrk0101,2014-07-24
wpbrk0102,2014-07-25
wpbrk0103,2014-08-11
wpbrk0104,2014-08-17
wpbrk0105,2014-08-24
wpbrk0106,2014-08-25
wpbrk0108,2014-08-25
wpbrk0110,2014-08-25
wpbrk0112,2014-08-25
wpbrk0113,2014-09-08
wpbrk0114,2014-09-08
wpbrk0115,2014-09-09
wpbrk0116,2014-09-22
wpbrk0117,2014-10-24
wpbrk0119,2014-10-02
wpbrk0121,2014-11-09
wpbrk0122,2014-11-13
wpbrk0123,2014-11-24
wpbrk0124,2014-11-19
wpbrk0125,2014-12-04
wpbrk0126,2014-12-06
wpbrk0127,2014-12-09
wpbrk0129,2014-12-10
wpbrk0130,2014-12-28
wpbrk0131,2014-12-28
wpbrk0132,2014-12-30
wpbrk0133,2014-12-31
wpbrk0134,2015-01-05
wpbrk0135,2015-01-10
wpbrk0137,2015-01-15
wpbrk0138,2015-01-15
wpbrk0141,2015-01-18
wpbrk0142,2015-01-19
wpbrk0143,2015-01-23
wpbrk0144,2015-01-23
wpbrk0145,2015-02-03
wpbrk0149,2015-02-04
wpbrk0151,2015-02-21
wpbrk0152,2015-02-23
wpbrk0153,2015-02-22
wpbrk0155,2015-03-01
wpbrk0156,2015-03-28
wpbrk0157,2015-03-06
wpbrk0158,2015-03-21
wpbrk0160,2015-03-26
wpbrk0161,2015-04-11
wpbrk0162,2015-04-28
wpbrk0163,2015-05-10
wpbrk0164,2015-05-28
wpbrk0165,2015-05-28
wpbrk0166,2015-05-31
wpbrk0167,2015-06-09
wpbrk0168,2015-06-10
wpbrk0169,2015-06-11
wpbrk0170,2015-06-11
wpbrk0171,2015-06-15
wpbrk0172,2015-06-16
wpbrk0173,2015-06-29
wpbrk0174,2015-06-29
wpbrk0175,2015-07-06
wpbrk0176,2015-07-07
wpbrk0179,2015-07-30
wpbrk0183,2015-07-31
wpbrk0184,2015-08-04
wpbrk0185,2015-08-05
wpbrk0187,2015-08-05
wpbrk0188,2015-08-04
wpbrk0189,2015-08-05
wpbrk0190,2015-08-05
wpbrk0191,2015-08-06
wpbrk0192,2015-08-07
wpbrk0193,2015-08-11
wpbrk0194,2015-08-12
wpbrk0195,2015-08-13
wpbrk0197,2015-08-13
wpbrk0198,2015-09-02
wpbrk0199,2015-09-07
wpbrk0201,2015-09-10
wpbrk0202,2015-09-16
wpbrk0203,2015-09-16
wpbrk0205,2015-09-19
wpbrk0206,2015-09-22
wpbrk0208,2015-09-23
wpbrk0210,2015-09-28
wpbrk0211,2015-09-28
wpbrk0212,2015-09-30
wpbrk0215,2015-09-30
wpbrk0216,2015-10-16
wpbrk0217,2015-10-07
wpbrk0218,2015-10-17
wpbrk0219,2015-10-20
wpbrk0220,2015-10-20
wpbrk0221,2015-10-21
wpbrk0222,2015-10-19
wpbrk0224,2015-10-21
wpbrk0225,2015-10-28
wpbrk0226,2015-10-31
wpbrk0227,2015-11-01
wpbrk0228,2015-11-03
wpbrk0229,2015-11-04
wpbrk0231,2015-11-05
wpbrk0233,2015-11-08
wpbrk0234,2015-11-16
wpbrk0235,2015-11-16
wpbrk0236,2015-11-17
wpbrk0237,2015-11-20
wpbrk0239,2015-11-23
wpbrk0240,2015-11-25
wpbrk0241,2015-11-26
wpbrk0242,2015-11-30
wpbrk0243,2015-12-03
wpbrk0244,2015-12-15
wpbrk0245,2015-12-23
wpbrk0247,2015-12-24
wpbrk0248,2015-12-28
wpbrk0250,2016-01-06
wpbrk0251,2016-01-07
wpbrk0252,2016-01-07
wpbrk0253,2016-01-09
wpbrk0254,2016-01-11
wpbrk0255,2016-01-11
wpbrk0256,2016-01-12
wpbrk0257,2016-01-19
wpbrk0259,2016-01-22
wpbrk0263,2016-01-25
wpbrk0264,2016-02-08
wpbrk0265,2016-02-12
wpbrk0266,2016-02-16
wpbrk0267,2016-02-18
wpbrk0269,2016-03-01
wpbrk0270,2016-04-30
wpbrk0271,2016-05-11
wpbrk0272,2016-05-27
